comment_id,comment_view,notified_at,updated_at,reason,parent_topic_id,created_at,ref_id,parent_comment_id
0FwzamKdI17lAk7ToGLq,เห็นด้วย,2026-02-27T11:21:39.691Z,2026-02-27T11:21:39.691Z,รัฐธรรมนูญต้องมีความยั่งยืน มั่นคง ประชาชนพร้อมที่จะพิทักษ์รัฐธรรมนูญ และปิดกั้นโอกาสคนไม่ดีไม่ให้เข้ามามีอำนาจ,xPfTusEykaoThPECEHNx,2026-02-27T11:21:39.691Z,,
0Jg4mGkOFsRxod7wCiq8,ไม่เห็นด้วย,2025-07-02T10:20:23.720Z,2025-07-02T10:20:23.720Z,เป็นข้อกำหนดอยู่แล้ว ว่า ครม. สภา ไม่สามารถมาเป็นสมาชิกได้,KxylHYyk2a6LnAUMKuCA,2025-07-02T10:20:23.720Z,C85,
0OX4wrogQcZzc9VYWXsa,เห็นด้วย,2026-02-27T11:26:39.376Z,2026-02-27T11:26:39.376Z,และเปิดโอกาสให้ประชาชนได้มีส่วนร่วมต่อการตัดสินใจในนโยบายทางการเมืองต่าง ๆ,ee9QQZxV5iESX66emeXE,2026-02-27T11:26:39.376Z,,sVTCUmp1l4ZU2LHgVion
0TAJFX3U2X97Uu9U4paa,เห็นด้วยบางส่วน,2025-07-02T10:20:23.720Z,2025-07-02T10:20:23.720Z,เพื่อให้เป็นไปได้สำหรับ กกต. อาจจะยังไม่ต้องสร้างเครื่องลงคะแนน (Hardware) แต่ใช้เทคโนโลยีเพื่อช่วยในการนับคะแนน (Image Processing),ZDsDi5uzFybyTHDyg7Sh,2025-07-02T10:20:23.720Z,C94,
0ThNahMU1b2LXwUr6v2P,เห็นด้วย,2025-07-02T10:20:23.720Z,2025-07-02T10:20:23.720Z,ต้องมีตัวแทนครบ ทั้งเชิงพื้นที่ และเชิงประเด็น,cwMYFZkBcDAT64xVGPYi,2025-07-02T10:20:23.720Z,C91,
0Z9YH0ZXFXGsnc3TUS30,เห็นด้วย,2025-07-02T10:20:23.720Z,2025-07-02T10:20:23.720Z,มีตัวอย่างประเด็นที่เชื่อมโยงกับประชาชน เช่น การมีอากาศที่ดี การจัดผังเมืองที่ส่งผลกระทบกับประชาชน เพื่อให้เห็นความสำคัญของการร่างรัฐธรรมนูญ,peEZ4F0cByDfdVv4Mh5R,2025-07-02T10:20:23.720Z,C312,JepMcNblrAVmITXa0ed8
0byiVBTYWiufZShxLens,ไม่เห็นด้วย,2025-07-02T10:20:23.720Z,2025-07-02T10:20:23.720Z,หลีกเลี่ยงพื้นที่เล็กยิ่งดี เพราะสามารถหลีกเลี่ยงปัญหาเรื่องหัวคะแนนได้,8WtlnkWM0PlR19PBZTR8,2025-07-02T10:20:23.720Z,C62,
0dYNkhTK9vQECyPtUmw9,เห็นด้วย,2025-07-02T10:20:23.720Z,2025-07-02T10:20:23.720Z,สื่อมวลชน และหน่วยงานที่เกี่ยวข้องต้องเปิดเผยข้อมูลอย่างโปร่งใส รวดเร็ว,UiN8egrbml9767vx9jT5,2025-07-02T10:20:23.720Z,C334,
1Ds7itj1Jqtebi2DKSPf,ไม่เห็นด้วย,2025-07-02T10:20:23.720Z,2025-07-02T10:20:23.720Z,ประชาชนบางคนเป็นสมาชิกพรรคการเมืองขนาดเล็ก ซึ่งบางครั้งไม่ได้มีส่วนได้ส่วนเสียในทางการเมือง,30iUR5Bs1u2g842KdF3y,2025-07-02T10:20:23.720Z,C144,weOxKzgOdsLZJOluVk6b
1Fvy1PAj7K6JefxvoKhD,เห็นด้วย,2025-09-09T10:50:31.450Z,2025-09-09T10:50:31.450Z,ต้องการทราบว่าการยื่นคำร้องแต่ละครั้ง จะช่วยคดีได้จริงหรือไม่ และใครเป็นผู้ติดตามเรื่องให้,ZAdCNNsmsUjfqIH0m3Px,2025-09-09T10:50:31.450Z,,
1IBVgejIl59xxhuZZTxn,เห็นด้วย,2025-07-02T10:20:23.720Z,2025-07-02T10:20:23.720Z,สสร. ควรมีแต่หน้าที่ ไม่มีอำนาจ (เชิงจิตอาสา),wXQy4GNSAVByO1QwIw31,2025-07-02T10:20:23.720Z,C267,
1WdfIKqxdf6Bu6truJpC,เห็นด้วย,2025-07-02T10:20:23.720Z,2025-07-02T10:20:23.720Z,สามารถมีร่างเงาเสนอได้,hHM0HVjqwKVeG9AWTAZF,2025-07-02T10:20:23.720Z,C283,vl5ZMQtd9s7cs70Ro3hB
1dqAVHNlv9C5hTskoU0n,เห็นด้วย,2025-09-09T10:56:12.790Z,2025-09-09T10:56:12.790Z,จากประสบการณ์ส่วนตัว โจทย์ใช้ทนายที่มีความสามารถ ส่วนตนไม่มีความรู้ด้านกฎหมายเลย ทำให้ไม่สามารถสู้คดีได้,ZAdCNNsmsUjfqIH0m3Px,2025-09-09T10:56:12.790Z,,
1eNOxxIBFyJsDjJgAnns,เห็นด้วย,2025-07-02T10:20:23.720Z,2025-07-02T10:20:23.720Z,ลดข้อจำกัดและการกีดกันคุณสมบัติ เพื่อเพิ่มความหลากหลาย,2rIAoKtf0uRsbMDTZ6kE,2025-07-02T10:20:23.720Z,C36,
1o1C3PPCHxm4LWK9sKRz,เห็นด้วย,2025-07-02T10:20:23.720Z,2025-07-02T10:20:23.720Z,สสร. ต้องมีการกำหนดคุณสมบัติในเชิงสากล เช่น ความสามารถในการรับผิดชอบได้ ความโปร่งใส,w1UaINJpdc3KsocCvWSD,2025-07-02T10:20:23.720Z,C208,
