event_id,participants,target_group,updated_at,display_name,location,description,created_at,avatar_url,date,title_th,news_link,title_en,demographic_tag
7RlnzfjxyxYTH0ajcVQK,30,ผู้ต้องขังในเรือนจำ,2025-09-17T09:23:53.895Z,Prisoners' DreamCon (เรือนจำกลางนครราชสีมา),เรือนจำกลางนครราชสีมา,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",2025-06-20T09:15:09.945Z,/avatar/2.png,2025-06-16,-,https://www.facebook.com/share/p/1C1g7cQe1V/,Dream Constitution for Future of Freedom (เรือนจำกลางนครราชสีมา),ผู้ต้องขัง
AkUH6sty9Lv2WuTTXRD9,30,ผู้ต้องขังในเรือนจำ ทั้งที่อยู่ระหว่างพิจารณาคดี และอยู่ในช่วงเตรียมความพร้อมก่อนปล่อย,2025-11-27T08:31:40.054Z,Prisoners' DreamCon (เรือนจำพิเศษธนบุรี),เรือนจำพิเศษธนบุรี,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",2025-11-27T08:31:16.772Z,/avatar/12.png,2025-11-03,-,-,DreamCon for Future of Freedom (เรือนจำพิเศษธนบุรี),ผู้ต้องขัง
FLuzAE5dm4qazOoE4QaF,40,ประชาชนที่สนใจประเด็นการแก้ไขรัฐธรรมนูญ สื่อมวลชน นักวิชาการ สมาชิกรัฐสภา กลุ่มเคลื่อนไหวเรื่องรัฐธรรมนูญ,2025-09-29T04:38:16.162Z,Dream Con x The Active,องค์การกระจายเสียงและแพร่ภาพสาธารณะแห่งประเทศไทย (ThaiPBS),วงเสวนาสาธารณะเพื่อเปิดประเด็น ‘ที่มาและอำนาจของ สสร.’ เพื่อให้เราได้ช่วยกันคิดและแสดงความคิดเห็นเตรียมการเอาไว้ ในขณะที่เส้นทางสู่รัฐธรรมนูญที่มาจากประชาชนยังต้องใช้เวลาอีกยาวไกล แต่การได้แลกเปลี่ยนบทสนทนาและสร้างความเข้าใจร่วมกันถือเป็นหัวใจสำคัญของการก่อร่างของ สสร. และเนื้อหาภายในรัฐธรรมนูญ,2025-07-02T10:17:05.572Z,/avatar/3.png,2024-12-03,ร้อยเหตุผล ร่วมสนทนา ร่างรัฐธรรมนูญของประชาชน,https://www.facebook.com/share/p/1AoQGXiJZS/,Dream Con: Conversations for Constitution,"นักวิชาการ,นักกิจกรรม,สื่อมวลชน,นักการเมือง"
HTmIYhVrz22i3PjxdS0h,30,ผู้ต้องขังในเรือนจำ ทั้งที่อยู่ระหว่างพิจารณาคดี และอยู่ในช่วงเตรียมความพร้อมก่อนปล่อย,2025-09-17T09:24:25.225Z,Prisoners' DreamCon (เรือนจำกลางเชียงใหม่),เรือนจำกลางเชียงใหม่,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",2025-09-02T10:56:49.443Z,/avatar/5.png,2025-07-21,-,https://www.facebook.com/share/p/1C1g7cQe1V/,Dream Constitution for Future of Freedom (เรือนจำกลางเชียงใหม่),ผู้ต้องขัง
OiKFo7nNy4gsLARMI6zP,50,เยาวชนอายุ 15-25 ปี ทั้งในกรุงเทพฯ และต่างจังหวัด,2025-07-02T10:51:31.332Z,TIJ Youth Dialogue,สถาบันเพื่อการยุติธรรมแห่งประเทศไทย (TIJ),เยาวชนควรมีส่วนขบคิดและร่วมออกแบบรัฐธรรมนูญ เพื่อกำหนดหน้าตาของอนาคตประเทศไทยที่พวกเขาจะต้องใช้ชีวิตอยู่ร่วมกับคนอีกหลากหลายวัย กิจกรรมนี้จึงเป็นการเชิญชวนให้เยาวชนได้มีโอกาสก้าวเข้ามาเพื่อริเริ่มวงสนทนาว่าด้วยรัฐธรรมนูญด้วยตัวเองร่วมกับเพื่อนๆ ในวัยเดียวกัน ตั้งประเด็นชวนคิด แสดงความต้องการในมุมของตนเอง พร้อมถกความเป็นไปได้ต่างๆ ที่หลากหลาย เป็นเสมือนบันไดขั้นแรกในการเตรียมความพร้อมทั้งด้านเนื้อหาและประสบการณ์เพื่อนำไปสื่อสารกับคนกลุ่มอื่นๆ ในสังคมต่อไป,2025-07-02T10:17:06.342Z,/avatar/4.png,2025-02-08,เติมจินตนาการ ต่อความฝันให้ประเทศไทย,https://www.facebook.com/share/p/1CQiafxHMS/,Youth Dialogue on Dream Constitution,เยาวชน
Ri7THJYVq8VeyDjrJZS8,60,นักเรียน นักศึกษา นักกิจกรรม และประชาชนทั่วไปที่สนใจ,2025-09-15T03:49:35.160Z,DreamCon x TU,มหาวิทยาลัยธรรมศาสตร์,"เยาวชนคนรุ่นใหม่มารวมตัวกันเพื่อร่วมออกแบบ ""รัฐธรรมนูญในฝัน"" ที่สะท้อนความหวังของพวกเขาต่อประเทศไทยที่ดีขึ้น ผ่านกิจกรรมแลกเปลี่ยนความคิดเห็น ที่เปิดโอกาสให้ทุกคนได้แสดงความคิดสร้างสรรค์ และมองหากติการ่วมกัน ""เพราะเสียงของทุกคนมีความหมายเสมอ ในการกำหนดอนาคตของประเทศไทย""",2025-09-15T03:48:45.878Z,/avatar/11.png,2025-06-30,Dream Constitution รัฐธรรมนูญในฝันของเยาวชน (มหาวิทยาลัยธรรมศาสตร์),https://www.freiheit.org/th/thailand/esiiyngeyawchnwadwyraththrrmnuuyinfan-srangsangkhmaelaraththrrmnuuyinxudmkhtirwmkan,Dream Constitution of the Youth (Thammasat University),"นักเรียน,นักศึกษา,นักกิจกรรม"
XtVckzGBhhXrczpk2wBW,30,ผู้ต้องขังในเรือนจำ ทั้งที่อยู่ระหว่างพิจารณาคดี และอยู่ในช่วงเตรียมความพร้อมก่อนปล่อย,2025-09-17T09:24:03.364Z,Prisoners' DreamCon (เรือนจำอำเภอไชยา),เรือนจำอำเภอไชยา,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",2025-09-02T11:08:46.690Z,/avatar/8.png,2025-07-25,-,https://www.facebook.com/share/p/1C1g7cQe1V/,DreamCon for Future of Freedom (เรือนจำอำเภอไชยา),ผู้ต้องขัง
ZeztgNNzU3DbAZNdVQbt,33,ผู้ต้องขังในเรือนจำ,2025-09-17T09:23:29.180Z,Prisoners' DreamCon (ทัณฑสถานหญิงธนบุรี),ทัณฑสถานหญิงธนบุรี,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",2025-06-10T04:36:53.452Z,/avatar/1.png,2025-05-29,-,https://www.facebook.com/share/p/1C1g7cQe1V/,Dream Constitution for Future of Freedom (ทัณฑสถานหญิงธนบุรี),ผู้ต้องขัง
ah0Io8qTy2I6RjsTHTeS,30,ผู้ต้องขังในเรือนจำ  ทั้งที่อยู่ระหว่างพิจารณาคดี และอยู่ในช่วงเตรียมความพร้อมก่อนปล่อย,2025-09-17T09:24:11.258Z,Prisoners' DreamCon (ทัณฑสถานหญิงสงขลา),ทัณฑสถานหญิงสงขลา,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",2025-09-02T11:06:34.841Z,/avatar/7.png,2025-07-23,-,https://www.facebook.com/share/p/1C1g7cQe1V/,Dream Con for Future of Freedom (ทัณฑสถานหญิงสงขลา),ผู้ต้องขัง
vXyzxEkaeEFoAcKQEeia,30,ผู้ต้องขังในเรือนจำ  ทั้งที่อยู่ระหว่างพิจารณาคดี และอยู่ในช่วงเตรียมความพร้อมก่อนปล่อย,2025-09-17T09:24:18.700Z,Prisoners' DreamCon (ทัณฑสถานหญิงเชียงใหม่),ทัณฑสถานหญิงเชียงใหม่,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",2025-09-02T11:02:02.290Z,/avatar/6.png,2025-07-22,-,https://www.facebook.com/share/p/1C1g7cQe1V/,Dream Con for Future of Freedom (ทัณฑสถานหญิงเชียงใหม่),ผู้ต้องขัง
