topic_id,event_id
04igkOa0KDKz9yfJogEo,FLuzAE5dm4qazOoE4QaF
04igkOa0KDKz9yfJogEo,OiKFo7nNy4gsLARMI6zP
04igkOa0KDKz9yfJogEo,wIKPzNydyOA8KbRKHE5a
0Fei5MccG3Tftzfh9Uoo,ZeztgNNzU3DbAZNdVQbt
0Fei5MccG3Tftzfh9Uoo,HTmIYhVrz22i3PjxdS0h
0vomrDzX8pjCYnoNBiuo,OiKFo7nNy4gsLARMI6zP
0vomrDzX8pjCYnoNBiuo,Ri7THJYVq8VeyDjrJZS8
1eNG3cExFvLzW5leCHWP,wIKPzNydyOA8KbRKHE5a
1eNG3cExFvLzW5leCHWP,ah0Io8qTy2I6RjsTHTeS
1eNG3cExFvLzW5leCHWP,zDLn38DfCkx1JTQfW7bl
1nja4ZhMvSVsjlVvtx9r,FLuzAE5dm4qazOoE4QaF
1nja4ZhMvSVsjlVvtx9r,ah0Io8qTy2I6RjsTHTeS
1nja4ZhMvSVsjlVvtx9r,OiKFo7nNy4gsLARMI6zP
1nja4ZhMvSVsjlVvtx9r,ZeztgNNzU3DbAZNdVQbt
1qjh6KRYbAEPsKG8NUDI,OiKFo7nNy4gsLARMI6zP
1qjh6KRYbAEPsKG8NUDI,wIKPzNydyOA8KbRKHE5a
1qjh6KRYbAEPsKG8NUDI,HTmIYhVrz22i3PjxdS0h
1qjh6KRYbAEPsKG8NUDI,XtVckzGBhhXrczpk2wBW
2StYx1m4eIDCGmr7yEBp,Ri7THJYVq8VeyDjrJZS8
2StYx1m4eIDCGmr7yEBp,HTmIYhVrz22i3PjxdS0h
2StYx1m4eIDCGmr7yEBp,FLuzAE5dm4qazOoE4QaF
2StYx1m4eIDCGmr7yEBp,ah0Io8qTy2I6RjsTHTeS
2rIAoKtf0uRsbMDTZ6kE,FLuzAE5dm4qazOoE4QaF
2rIAoKtf0uRsbMDTZ6kE,wIKPzNydyOA8KbRKHE5a
2rkY2deHi8JWXeTwRzzX,OiKFo7nNy4gsLARMI6zP
2rkY2deHi8JWXeTwRzzX,vXyzxEkaeEFoAcKQEeia
30iUR5Bs1u2g842KdF3y,FLuzAE5dm4qazOoE4QaF
30iUR5Bs1u2g842KdF3y,ah0Io8qTy2I6RjsTHTeS
4CGZkWkBlX9VNSkBJEGI,FLuzAE5dm4qazOoE4QaF
4CGZkWkBlX9VNSkBJEGI,7RlnzfjxyxYTH0ajcVQK
4CGZkWkBlX9VNSkBJEGI,Ri7THJYVq8VeyDjrJZS8
4FVZ0ewHQ4KGRiPBoGm1,FLuzAE5dm4qazOoE4QaF
4FVZ0ewHQ4KGRiPBoGm1,ZeztgNNzU3DbAZNdVQbt
4aNRcEnl4h9Kz5pxa6ff,FLuzAE5dm4qazOoE4QaF
4aNRcEnl4h9Kz5pxa6ff,vXyzxEkaeEFoAcKQEeia
4aNRcEnl4h9Kz5pxa6ff,AkUH6sty9Lv2WuTTXRD9
4i14t622N6uaKqAPYfKD,OiKFo7nNy4gsLARMI6zP
4i14t622N6uaKqAPYfKD,HTmIYhVrz22i3PjxdS0h
4i14t622N6uaKqAPYfKD,wIKPzNydyOA8KbRKHE5a
4i14t622N6uaKqAPYfKD,ah0Io8qTy2I6RjsTHTeS
4kDXCQeLCddQptKyOLX0,wIKPzNydyOA8KbRKHE5a
4kDXCQeLCddQptKyOLX0,FLuzAE5dm4qazOoE4QaF
4kDXCQeLCddQptKyOLX0,HTmIYhVrz22i3PjxdS0h
53UEd7GeI48aWUYhrgWZ,OiKFo7nNy4gsLARMI6zP
53UEd7GeI48aWUYhrgWZ,ah0Io8qTy2I6RjsTHTeS
59G9i7h4GZtz0ScSAn0C,FLuzAE5dm4qazOoE4QaF
59G9i7h4GZtz0ScSAn0C,vXyzxEkaeEFoAcKQEeia
5YG7dKCSMALs9DqbO2ox,OiKFo7nNy4gsLARMI6zP
5YG7dKCSMALs9DqbO2ox,7RlnzfjxyxYTH0ajcVQK
5rWaEjqgvDdjO8xjUyME,FLuzAE5dm4qazOoE4QaF
5rWaEjqgvDdjO8xjUyME,HTmIYhVrz22i3PjxdS0h
7MvMhsMTnlaGMGsDV1vu,Ri7THJYVq8VeyDjrJZS8
7MvMhsMTnlaGMGsDV1vu,ZeztgNNzU3DbAZNdVQbt
7MvMhsMTnlaGMGsDV1vu,AkUH6sty9Lv2WuTTXRD9
7MvMhsMTnlaGMGsDV1vu,zDLn38DfCkx1JTQfW7bl
7Wc7kBwm6cM0c2MxyCTL,Ri7THJYVq8VeyDjrJZS8
7Wc7kBwm6cM0c2MxyCTL,FLuzAE5dm4qazOoE4QaF
7nEY2QHVKCI2Ljwoyyno,zDLn38DfCkx1JTQfW7bl
7nEY2QHVKCI2Ljwoyyno,7RlnzfjxyxYTH0ajcVQK
7nEY2QHVKCI2Ljwoyyno,XtVckzGBhhXrczpk2wBW
7nEY2QHVKCI2Ljwoyyno,Ri7THJYVq8VeyDjrJZS8
7xGInlChiHbtmWOyxXXd,wIKPzNydyOA8KbRKHE5a
7xGInlChiHbtmWOyxXXd,XtVckzGBhhXrczpk2wBW
7xGInlChiHbtmWOyxXXd,HTmIYhVrz22i3PjxdS0h
7xGInlChiHbtmWOyxXXd,7RlnzfjxyxYTH0ajcVQK
8WtlnkWM0PlR19PBZTR8,FLuzAE5dm4qazOoE4QaF
8WtlnkWM0PlR19PBZTR8,ah0Io8qTy2I6RjsTHTeS
8vddQeCXJp9iuCwsqe7l,FLuzAE5dm4qazOoE4QaF
8vddQeCXJp9iuCwsqe7l,ZeztgNNzU3DbAZNdVQbt
8vddQeCXJp9iuCwsqe7l,HTmIYhVrz22i3PjxdS0h
8vddQeCXJp9iuCwsqe7l,XtVckzGBhhXrczpk2wBW
9InDlkI5HWtLSzJoExBd,ah0Io8qTy2I6RjsTHTeS
9InDlkI5HWtLSzJoExBd,7RlnzfjxyxYTH0ajcVQK
9InDlkI5HWtLSzJoExBd,FLuzAE5dm4qazOoE4QaF
9dCsKpEzmEmPYBkmYQOb,wIKPzNydyOA8KbRKHE5a
9dCsKpEzmEmPYBkmYQOb,vXyzxEkaeEFoAcKQEeia
9dCsKpEzmEmPYBkmYQOb,FLuzAE5dm4qazOoE4QaF
9dCsKpEzmEmPYBkmYQOb,XtVckzGBhhXrczpk2wBW
9g2CwbGiTaU7qQ0PH76a,wIKPzNydyOA8KbRKHE5a
9g2CwbGiTaU7qQ0PH76a,AkUH6sty9Lv2WuTTXRD9
A1zhD0A2zDnFjPYoxHqz,OiKFo7nNy4gsLARMI6zP
A1zhD0A2zDnFjPYoxHqz,FLuzAE5dm4qazOoE4QaF
A1zhD0A2zDnFjPYoxHqz,zDLn38DfCkx1JTQfW7bl
AMhL4FYyP54kMEyMU18G,OiKFo7nNy4gsLARMI6zP
AMhL4FYyP54kMEyMU18G,HTmIYhVrz22i3PjxdS0h
AaA3IdPpPRmGriTmLm26,FLuzAE5dm4qazOoE4QaF
AaA3IdPpPRmGriTmLm26,ah0Io8qTy2I6RjsTHTeS
AaA3IdPpPRmGriTmLm26,OiKFo7nNy4gsLARMI6zP
AbNTr8HqvnxhAIxe6Iw6,FLuzAE5dm4qazOoE4QaF
AbNTr8HqvnxhAIxe6Iw6,XtVckzGBhhXrczpk2wBW
BT8x8rmFStJjIMvPB10J,HTmIYhVrz22i3PjxdS0h
BT8x8rmFStJjIMvPB10J,AkUH6sty9Lv2WuTTXRD9
BT8x8rmFStJjIMvPB10J,vXyzxEkaeEFoAcKQEeia
BT8x8rmFStJjIMvPB10J,Ri7THJYVq8VeyDjrJZS8
C88gOdn5c8qXMV5MJ2h0,FLuzAE5dm4qazOoE4QaF
C88gOdn5c8qXMV5MJ2h0,7RlnzfjxyxYTH0ajcVQK
C88gOdn5c8qXMV5MJ2h0,XtVckzGBhhXrczpk2wBW
C88gOdn5c8qXMV5MJ2h0,OiKFo7nNy4gsLARMI6zP
CrOJFiVLJKlxb130FB4r,OiKFo7nNy4gsLARMI6zP
CrOJFiVLJKlxb130FB4r,XtVckzGBhhXrczpk2wBW
CrOJFiVLJKlxb130FB4r,ZeztgNNzU3DbAZNdVQbt
DQeO2c4HGwT5KEdiOMbY,ZeztgNNzU3DbAZNdVQbt
DQeO2c4HGwT5KEdiOMbY,Ri7THJYVq8VeyDjrJZS8
DQeO2c4HGwT5KEdiOMbY,vXyzxEkaeEFoAcKQEeia
DfJOY3sgMDlsp1Zdq9uU,Ri7THJYVq8VeyDjrJZS8
DfJOY3sgMDlsp1Zdq9uU,7RlnzfjxyxYTH0ajcVQK
E8YzlcAsoGf8ysfgHcWa,wIKPzNydyOA8KbRKHE5a
E8YzlcAsoGf8ysfgHcWa,XtVckzGBhhXrczpk2wBW
E8YzlcAsoGf8ysfgHcWa,ZeztgNNzU3DbAZNdVQbt
E8YzlcAsoGf8ysfgHcWa,HTmIYhVrz22i3PjxdS0h
EEcR0NvCxjwK7PH9cKjT,OiKFo7nNy4gsLARMI6zP
EEcR0NvCxjwK7PH9cKjT,HTmIYhVrz22i3PjxdS0h
EEcR0NvCxjwK7PH9cKjT,Ri7THJYVq8VeyDjrJZS8
EEcR0NvCxjwK7PH9cKjT,AkUH6sty9Lv2WuTTXRD9
ENbNmkn2KZh24qMQ3APu,FLuzAE5dm4qazOoE4QaF
ENbNmkn2KZh24qMQ3APu,XtVckzGBhhXrczpk2wBW
ENbNmkn2KZh24qMQ3APu,OiKFo7nNy4gsLARMI6zP
ENbNmkn2KZh24qMQ3APu,wIKPzNydyOA8KbRKHE5a
EjCnAXDaaJuBQLhHI42W,FLuzAE5dm4qazOoE4QaF
EjCnAXDaaJuBQLhHI42W,ah0Io8qTy2I6RjsTHTeS
EjCnAXDaaJuBQLhHI42W,AkUH6sty9Lv2WuTTXRD9
F4KhD4lOYoeldMS4hYnG,FLuzAE5dm4qazOoE4QaF
F4KhD4lOYoeldMS4hYnG,Ri7THJYVq8VeyDjrJZS8
F4KhD4lOYoeldMS4hYnG,AkUH6sty9Lv2WuTTXRD9
F7usd2BUTX3k0p2kDtwI,FLuzAE5dm4qazOoE4QaF
F7usd2BUTX3k0p2kDtwI,zDLn38DfCkx1JTQfW7bl
F7usd2BUTX3k0p2kDtwI,XtVckzGBhhXrczpk2wBW
FTlX1sG1A34X6v4SF2KR,FLuzAE5dm4qazOoE4QaF
FTlX1sG1A34X6v4SF2KR,HTmIYhVrz22i3PjxdS0h
FTlX1sG1A34X6v4SF2KR,Ri7THJYVq8VeyDjrJZS8
FTlX1sG1A34X6v4SF2KR,ZeztgNNzU3DbAZNdVQbt
G8LaoiZ5UGGP9Da7Fyz5,FLuzAE5dm4qazOoE4QaF
G8LaoiZ5UGGP9Da7Fyz5,zDLn38DfCkx1JTQfW7bl
G8LaoiZ5UGGP9Da7Fyz5,wIKPzNydyOA8KbRKHE5a
GBq5BwwKMbbVQc6Y89rE,7RlnzfjxyxYTH0ajcVQK
GBq5BwwKMbbVQc6Y89rE,ZeztgNNzU3DbAZNdVQbt
GBq5BwwKMbbVQc6Y89rE,wIKPzNydyOA8KbRKHE5a
GWGd5rdE1uMxAeIT6o9n,Ri7THJYVq8VeyDjrJZS8
GWGd5rdE1uMxAeIT6o9n,ah0Io8qTy2I6RjsTHTeS
GWGd5rdE1uMxAeIT6o9n,HTmIYhVrz22i3PjxdS0h
GWGd5rdE1uMxAeIT6o9n,ZeztgNNzU3DbAZNdVQbt
GaxoVIINVkWmZ2zMW0Ai,wIKPzNydyOA8KbRKHE5a
GaxoVIINVkWmZ2zMW0Ai,Ri7THJYVq8VeyDjrJZS8
GnCjAaUbc2WzgFdhlV2q,wIKPzNydyOA8KbRKHE5a
GnCjAaUbc2WzgFdhlV2q,Ri7THJYVq8VeyDjrJZS8
GnCjAaUbc2WzgFdhlV2q,OiKFo7nNy4gsLARMI6zP
GnCjAaUbc2WzgFdhlV2q,HTmIYhVrz22i3PjxdS0h
HFZPo4OzbhEno0bLvM7e,zDLn38DfCkx1JTQfW7bl
HFZPo4OzbhEno0bLvM7e,FLuzAE5dm4qazOoE4QaF
HFZPo4OzbhEno0bLvM7e,OiKFo7nNy4gsLARMI6zP
HFZPo4OzbhEno0bLvM7e,XtVckzGBhhXrczpk2wBW
HK63bfvXv3plsVJm1Q7U,zDLn38DfCkx1JTQfW7bl
HK63bfvXv3plsVJm1Q7U,HTmIYhVrz22i3PjxdS0h
HK63bfvXv3plsVJm1Q7U,XtVckzGBhhXrczpk2wBW
HK63bfvXv3plsVJm1Q7U,Ri7THJYVq8VeyDjrJZS8
HTDgBRXcKY29K1Jdey0W,wIKPzNydyOA8KbRKHE5a
HTDgBRXcKY29K1Jdey0W,7RlnzfjxyxYTH0ajcVQK
HTDgBRXcKY29K1Jdey0W,AkUH6sty9Lv2WuTTXRD9
HVq2A7jVeLEtRGQrP1Py,AkUH6sty9Lv2WuTTXRD9
HVq2A7jVeLEtRGQrP1Py,OiKFo7nNy4gsLARMI6zP
HVq2A7jVeLEtRGQrP1Py,7RlnzfjxyxYTH0ajcVQK
HVq2A7jVeLEtRGQrP1Py,vXyzxEkaeEFoAcKQEeia
HtKMPnTUQEvqMVAZRO7x,zDLn38DfCkx1JTQfW7bl
HtKMPnTUQEvqMVAZRO7x,FLuzAE5dm4qazOoE4QaF
HtKMPnTUQEvqMVAZRO7x,ah0Io8qTy2I6RjsTHTeS
HtKMPnTUQEvqMVAZRO7x,ZeztgNNzU3DbAZNdVQbt
IQCwYQpN6dyrQDca9UWs,OiKFo7nNy4gsLARMI6zP
IQCwYQpN6dyrQDca9UWs,ZeztgNNzU3DbAZNdVQbt
IQCwYQpN6dyrQDca9UWs,ah0Io8qTy2I6RjsTHTeS
IjZMXmGBxDDaJKh5DyOZ,Ri7THJYVq8VeyDjrJZS8
IjZMXmGBxDDaJKh5DyOZ,zDLn38DfCkx1JTQfW7bl
IjZMXmGBxDDaJKh5DyOZ,wIKPzNydyOA8KbRKHE5a
IjZMXmGBxDDaJKh5DyOZ,OiKFo7nNy4gsLARMI6zP
J6vFHMcHA7KE6NsdIaEN,ZeztgNNzU3DbAZNdVQbt
J6vFHMcHA7KE6NsdIaEN,7RlnzfjxyxYTH0ajcVQK
J6vFHMcHA7KE6NsdIaEN,AkUH6sty9Lv2WuTTXRD9
J6vFHMcHA7KE6NsdIaEN,OiKFo7nNy4gsLARMI6zP
JkA5Nu2tkiSGYSkuc9XK,ZeztgNNzU3DbAZNdVQbt
JkA5Nu2tkiSGYSkuc9XK,7RlnzfjxyxYTH0ajcVQK
JkA5Nu2tkiSGYSkuc9XK,zDLn38DfCkx1JTQfW7bl
JkA5Nu2tkiSGYSkuc9XK,XtVckzGBhhXrczpk2wBW
JkV4OtnlhvCzKVDYLx7h,FLuzAE5dm4qazOoE4QaF
JkV4OtnlhvCzKVDYLx7h,vXyzxEkaeEFoAcKQEeia
JkV4OtnlhvCzKVDYLx7h,wIKPzNydyOA8KbRKHE5a
JrrSMrVIPnXKGeNiUZIJ,FLuzAE5dm4qazOoE4QaF
JrrSMrVIPnXKGeNiUZIJ,OiKFo7nNy4gsLARMI6zP
JrrSMrVIPnXKGeNiUZIJ,AkUH6sty9Lv2WuTTXRD9
KGlNY6Z1v9IK1r2wc172,AkUH6sty9Lv2WuTTXRD9
KGlNY6Z1v9IK1r2wc172,HTmIYhVrz22i3PjxdS0h
KGlNY6Z1v9IK1r2wc172,Ri7THJYVq8VeyDjrJZS8
KQU7CiheSFOtWiVDVBxL,wIKPzNydyOA8KbRKHE5a
KQU7CiheSFOtWiVDVBxL,FLuzAE5dm4qazOoE4QaF
KQU7CiheSFOtWiVDVBxL,zDLn38DfCkx1JTQfW7bl
KT4M6sabcRzo7DQ2UYlK,OiKFo7nNy4gsLARMI6zP
KT4M6sabcRzo7DQ2UYlK,ZeztgNNzU3DbAZNdVQbt
KT4M6sabcRzo7DQ2UYlK,zDLn38DfCkx1JTQfW7bl
KT4M6sabcRzo7DQ2UYlK,vXyzxEkaeEFoAcKQEeia
KnLQ88WRrt7g9gfxdAr1,FLuzAE5dm4qazOoE4QaF
KnLQ88WRrt7g9gfxdAr1,XtVckzGBhhXrczpk2wBW
KxylHYyk2a6LnAUMKuCA,FLuzAE5dm4qazOoE4QaF
KxylHYyk2a6LnAUMKuCA,Ri7THJYVq8VeyDjrJZS8
L7vAtfnZK03nF2zDvcvf,FLuzAE5dm4qazOoE4QaF
L7vAtfnZK03nF2zDvcvf,ZeztgNNzU3DbAZNdVQbt
L7vAtfnZK03nF2zDvcvf,HTmIYhVrz22i3PjxdS0h
L7vAtfnZK03nF2zDvcvf,ah0Io8qTy2I6RjsTHTeS
LKXzmA9tyTknWrjuwsup,FLuzAE5dm4qazOoE4QaF
LKXzmA9tyTknWrjuwsup,ah0Io8qTy2I6RjsTHTeS
LKXzmA9tyTknWrjuwsup,HTmIYhVrz22i3PjxdS0h
LKXzmA9tyTknWrjuwsup,AkUH6sty9Lv2WuTTXRD9
