id,category,group,question_id,distance_to_question,distance_to_center
qq5SykirmTIWsbbBDARc,สสร.,1,สสร.-1,0.2314690351,0.28177422
qq5SykirmTIWsbbBDARc,สสร.,1,สสร.-1,0.2314690351,0.28177422
qq5SykirmTIWsbbBDARc,สสร.,8,สสร.-8,0.6733612418,0.2504118
f8RGpxZJ7dQCu4DY6KRj,สสร.,5,สสร.-5,0.5365040302,0.1314401
f8RGpxZJ7dQCu4DY6KRj,สสร.,5,สสร.-5,0.5365040302,0.1314401
f8RGpxZJ7dQCu4DY6KRj,สสร.,7,สสร.-7,0.5339878201,0.29629117
30iUR5Bs1u2g842KdF3y,สสร.,0,สสร.-0,0.6524614096,0.36929786
30iUR5Bs1u2g842KdF3y,สสร.,5,สสร.-5,0.4298392534,0.34799534
30iUR5Bs1u2g842KdF3y,สสร.,5,สสร.-5,0.4298392534,0.34799534
30iUR5Bs1u2g842KdF3y,สสร.,7,สสร.-7,0.4165331721,0.32179874
30iUR5Bs1u2g842KdF3y,สสร.,4,สสร.-4,0.6155809164,0.40965307
rcKMnMwfcNJBA0vTq9K2,สสร.,8,สสร.-8,0.4263116121,0.18747741
rcKMnMwfcNJBA0vTq9K2,สสร.,8,สสร.-8,0.4263116121,0.18747741
rcKMnMwfcNJBA0vTq9K2,สสร.,1,สสร.-1,0.4258049726,0.44438666
4aNRcEnl4h9Kz5pxa6ff,สสร.,4,สสร.-4,0.6890498996,0.39550936
4aNRcEnl4h9Kz5pxa6ff,สสร.,1,สสร.-1,0.3742098808,0.3305623
4aNRcEnl4h9Kz5pxa6ff,สสร.,1,สสร.-1,0.3742098808,0.3305623
cwMYFZkBcDAT64xVGPYi,สสร.,3,สสร.-3,0.7246884406,0.38034487
cwMYFZkBcDAT64xVGPYi,สสร.,3,สสร.-3,0.7246884406,0.38034487
hFlaIDjyVSQM95hpLX5l,สสร.,0,สสร.-0,0.4505614042,0.26546633
hFlaIDjyVSQM95hpLX5l,สสร.,0,สสร.-0,0.4505614042,0.26546633
hFlaIDjyVSQM95hpLX5l,สสร.,7,สสร.-7,0.4412715435,0.32858336
hFlaIDjyVSQM95hpLX5l,สสร.,3,สสร.-3,0.5633485913,0.3120584
hFlaIDjyVSQM95hpLX5l,สสร.,6,สสร.-6,0.4161378145,0.3279
U3yJP2gjVAZV5h2JzNxY,สสร.,0,สสร.-0,0.5778110027,0.34317297
U3yJP2gjVAZV5h2JzNxY,สสร.,7,สสร.-7,0.2248889208,0.12998402
U3yJP2gjVAZV5h2JzNxY,สสร.,7,สสร.-7,0.2248889208,0.12998402
U3yJP2gjVAZV5h2JzNxY,สสร.,1,สสร.-1,0.6002767682,0.36294037
U3yJP2gjVAZV5h2JzNxY,สสร.,5,สสร.-5,0.5213633776,0.40325707
8WtlnkWM0PlR19PBZTR8,สสร.,7,สสร.-7,0.3837599754,0.2607385
8WtlnkWM0PlR19PBZTR8,สสร.,7,สสร.-7,0.3837599754,0.2607385
VWv2kzIsYMLNk5oxEMFe,สสร.,5,สสร.-5,0.5451781452,0.24299818
VWv2kzIsYMLNk5oxEMFe,สสร.,5,สสร.-5,0.5451781452,0.24299818
VWv2kzIsYMLNk5oxEMFe,สสร.,7,สสร.-7,0.3846708536,0.2878148
VWv2kzIsYMLNk5oxEMFe,สสร.,1,สสร.-1,0.7172983885,0.43412644
AbNTr8HqvnxhAIxe6Iw6,สสร.,7,สสร.-7,0.4621834159,0.34589422
AbNTr8HqvnxhAIxe6Iw6,สสร.,7,สสร.-7,0.4621834159,0.34589422
d3pHtfhU57E5OSFI6Mry,สสร.,2,สสร.-2,0.3216555119,0.2664445
d3pHtfhU57E5OSFI6Mry,สสร.,2,สสร.-2,0.3216555119,0.2664445
eI7AwyqnfrU90ciZcB2J,สสร.,5,สสร.-5,0.7242265046,0.3207835
eI7AwyqnfrU90ciZcB2J,สสร.,5,สสร.-5,0.7242265046,0.3207835
4FVZ0ewHQ4KGRiPBoGm1,สสร.,5,สสร.-5,0.362483561,0.16898847
4FVZ0ewHQ4KGRiPBoGm1,สสร.,5,สสร.-5,0.362483561,0.16898847
4FVZ0ewHQ4KGRiPBoGm1,สสร.,7,สสร.-7,0.5078877807,0.2700026
beJZeFCKxnwomk2qQmnl,สสร.,0,สสร.-0,0.6862195134,0.37114674
beJZeFCKxnwomk2qQmnl,สสร.,6,สสร.-6,0.3722478151,0.3252588
beJZeFCKxnwomk2qQmnl,สสร.,6,สสร.-6,0.3722478151,0.3252588
59G9i7h4GZtz0ScSAn0C,สสร.,0,สสร.-0,0.8143514991,0.4832692
59G9i7h4GZtz0ScSAn0C,สสร.,0,สสร.-0,0.8143514991,0.4832692
UAUwl0DaojqWo5PD1hl8,สสร.,8,สสร.-8,0.3416521549,0.24277437
UAUwl0DaojqWo5PD1hl8,สสร.,0,สสร.-0,0.6841799021,0.40935004
UAUwl0DaojqWo5PD1hl8,สสร.,8,สสร.-8,0.3416521549,0.24277437
04igkOa0KDKz9yfJogEo,สสร.,3,สสร.-3,0.4603786469,0.18163693
04igkOa0KDKz9yfJogEo,สสร.,0,สสร.-0,0.6541542709,0.34104252
04igkOa0KDKz9yfJogEo,สสร.,3,สสร.-3,0.4603786469,0.18163693
04igkOa0KDKz9yfJogEo,สสร.,5,สสร.-5,0.5866465271,0.28676885
04igkOa0KDKz9yfJogEo,สสร.,4,สสร.-4,0.7036954165,0.38475466
04igkOa0KDKz9yfJogEo,สสร.,6,สสร.-6,0.5556425452,0.3759796
04igkOa0KDKz9yfJogEo,สสร.,7,สสร.-7,0.5857664347,0.36815482
l5syMnVe7oyPyItseDcU,สสร.,4,สสร.-4,0.6043799818,0.3523547
l5syMnVe7oyPyItseDcU,สสร.,4,สสร.-4,0.6043799818,0.3523547
iukqL19YJuS67ZkSWMqZ,สสร.,2,สสร.-2,0.7727652639,0.1915062
iukqL19YJuS67ZkSWMqZ,สสร.,2,สสร.-2,0.7727652639,0.1915062
ntBJAaqOZ6CVfzvCIdlt,สสร.,3,สสร.-3,0.7240281105,0.32040012
ntBJAaqOZ6CVfzvCIdlt,สสร.,3,สสร.-3,0.7240281105,0.32040012
XVmOnQaXkN0SrR4L2Cqf,สสร.,5,สสร.-5,0.6264100969,0.4744413
XVmOnQaXkN0SrR4L2Cqf,สสร.,5,สสร.-5,0.6264100969,0.4744413
w1UaINJpdc3KsocCvWSD,สสร.,0,สสร.-0,0.5539724827,0.33768982
w1UaINJpdc3KsocCvWSD,สสร.,4,สสร.-4,0.6264557838,0.28677905
w1UaINJpdc3KsocCvWSD,สสร.,4,สสร.-4,0.6264557838,0.28677905
w1UaINJpdc3KsocCvWSD,สสร.,7,สสร.-7,0.4346297383,0.38724637
w1UaINJpdc3KsocCvWSD,สสร.,5,สสร.-5,0.5127610564,0.4262017
lY0oZzdYo9y3zFhhYnmy,สสร.,3,สสร.-3,0.5412252545,0.21358347
lY0oZzdYo9y3zFhhYnmy,สสร.,3,สสร.-3,0.5412252545,0.21358347
VywCsA2V8nQnV6XH1RG2,สสร.,0,สสร.-0,0.5486764312,0.42871368
VywCsA2V8nQnV6XH1RG2,สสร.,0,สสร.-0,0.5486764312,0.42871368
L7vAtfnZK03nF2zDvcvf,สสร.,1,สสร.-1,0.2355492115,0.3144976
L7vAtfnZK03nF2zDvcvf,สสร.,1,สสร.-1,0.2355492115,0.3144976
gVOKNIr5SqGSYt4UQGwz,สสร.,1,สสร.-1,0.253513515,0.22355711
gVOKNIr5SqGSYt4UQGwz,สสร.,1,สสร.-1,0.253513515,0.22355711
gVOKNIr5SqGSYt4UQGwz,สสร.,4,สสร.-4,0.7713697851,0.36374724
0Fei5MccG3Tftzfh9Uoo,สวัสดิการ,3,สวัสดิการ-3,0.3364174366,0
2rkY2deHi8JWXeTwRzzX,สวัสดิการ,5,สวัสดิการ-5,0.2871528864,0
7Wc7kBwm6cM0c2MxyCTL,สวัสดิการ,4,สวัสดิการ-4,0.4666439891,0.13314158
9g2CwbGiTaU7qQ0PH76a,สวัสดิการ,2,สวัสดิการ-2,0.2615397573,0.122832656
IQCwYQpN6dyrQDca9UWs,สวัสดิการ,0,สวัสดิการ-0,0.2991868258,0.18060523
J6vFHMcHA7KE6NsdIaEN,สวัสดิการ,0,สวัสดิการ-0,0.2533329129,0.1742279
JkA5Nu2tkiSGYSkuc9XK,สวัสดิการ,1,สวัสดิการ-1,0.3321089745,0.1267457
KGlNY6Z1v9IK1r2wc172,สวัสดิการ,2,สวัสดิการ-2,0.2318103909,0.16316259
QlyL9rV0Ups7Teg50p7C,สวัสดิการ,1,สวัสดิการ-1,0.3377848864,0.10108477
UUVQPnkru2xj8tnf9x9r,สวัสดิการ,2,สวัสดิการ-2,0.2409228683,0.21395743
VAnenwbQKHPSvIjWV7pC,สวัสดิการ,6,สวัสดิการ-6,0.1833644509,0
dkrarlbB4ZvLnUMtJqJM,สวัสดิการ,2,สวัสดิการ-2,0.3292346597,0.21880758
flWe1JTfa9t3O20cxgFZ,สวัสดิการ,0,สวัสดิการ-0,0.4342636466,0.28370553
ri7VMl85rYWRQ5NzpcgE,สวัสดิการ,4,สวัสดิการ-4,0.3653110266,0.20460272
0vomrDzX8pjCYnoNBiuo,อื่น ๆ,0,อื่น ๆ-0,0.5400162935,0.36885613
1eNG3cExFvLzW5leCHWP,อื่น ๆ,0,อื่น ๆ-0,0.318791151,0.23561513
4kDXCQeLCddQptKyOLX0,อื่น ๆ,0,อื่น ๆ-0,0.5497545302,0.48302048
5YG7dKCSMALs9DqbO2ox,อื่น ๆ,0,อื่น ๆ-0,0.5114816427,0.45642775
7xGInlChiHbtmWOyxXXd,อื่น ๆ,0,อื่น ๆ-0,0.5329408944,0.33442253
CrOJFiVLJKlxb130FB4r,อื่น ๆ,0,อื่น ๆ-0,0.8381966054,0.7016905
E8YzlcAsoGf8ysfgHcWa,อื่น ๆ,0,อื่น ๆ-0,0.4069848657,0.20666748
G8LaoiZ5UGGP9Da7Fyz5,อื่น ๆ,0,อื่น ๆ-0,0.3491238356,0.26378626
GaxoVIINVkWmZ2zMW0Ai,อื่น ๆ,0,อื่น ๆ-0,0.2541174889,0.17601562
HFZPo4OzbhEno0bLvM7e,อื่น ๆ,0,อื่น ๆ-0,0.3937981725,0.21873367
HK63bfvXv3plsVJm1Q7U,อื่น ๆ,0,อื่น ๆ-0,0.2847200632,0.27053064
HTDgBRXcKY29K1Jdey0W,อื่น ๆ,0,อื่น ๆ-0,0.5688801706,0.3969766
HtKMPnTUQEvqMVAZRO7x,อื่น ๆ,0,อื่น ๆ-0,0.2639777064,0.1532659
IjZMXmGBxDDaJKh5DyOZ,อื่น ๆ,0,อื่น ๆ-0,0.346542716,0.293967
KT4M6sabcRzo7DQ2UYlK,อื่น ๆ,1,อื่น ๆ-1,0.5452316105,0.20202953
MS7pv54zrhUr3FL3rmJu,อื่น ๆ,0,อื่น ๆ-0,0.5742248297,0.4932937
NvzFEfaG6ZVZOzCL6oZi,อื่น ๆ,0,อื่น ๆ-0,0.5348679721,0.43163204
QIx0bqPEjthH7vViEhlP,อื่น ๆ,0,อื่น ๆ-0,0.3790413737,0.1995027
V8mRVC0MDmkQBgs9erqT,อื่น ๆ,0,อื่น ๆ-0,0.3625771999,0.1814403
VZIeapLeWOyH46gjSCRP,อื่น ๆ,0,อื่น ๆ-0,0.2213135362,0.2634794
XjCp9loWyVJVNkl15Rhj,อื่น ๆ,0,อื่น ๆ-0,0.8127513677,0.6531285
XmA3Xs8W1Xov6QoiC9Q1,อื่น ๆ,0,อื่น ๆ-0,0.5460062623,0.34387785
YZ1rH9CLzpmVQUhWLw5e,อื่น ๆ,1,อื่น ๆ-1,0.6295002699,0.22332978
a2GxJjEheT7kCjuYBJHO,อื่น ๆ,0,อื่น ๆ-0,0.2712450027,0.1947537
cgl2dkQpzRePcWAo075o,อื่น ๆ,0,อื่น ๆ-0,0.3267139196,0.32529342
dGxyjzS4YUBBbcbvHOUf,อื่น ๆ,0,อื่น ๆ-0,0.2318482399,0.3003204
ee9QQZxV5iESX66emeXE,อื่น ๆ,0,อื่น ๆ-0,0.483134985,0.3133167
fbVtCjw945zx0RDARWt1,อื่น ๆ,0,อื่น ๆ-0,0.6226816773,0.53358966
hN53GlLx2DAw5uskXgts,อื่น ๆ,0,อื่น ๆ-0,0.4003824592,0.29555213
hfmR2J1HSybT3k2ocQnN,อื่น ๆ,0,อื่น ๆ-0,0.7550348192,0.66485876
jHdCJCKb650P142dwlCc,อื่น ๆ,0,อื่น ๆ-0,0.4516243935,0.27818882
l4DGdklYsCQJ4YCEwG6N,อื่น ๆ,0,อื่น ๆ-0,0.4477870464,0.3125527
qPBOcL9oIepOBSMv2sm9,อื่น ๆ,0,อื่น ๆ-0,0.3602255583,0.29500896
rXQLUFdi9w5lq2zlb3jt,อื่น ๆ,0,อื่น ๆ-0,0.4696806073,0.28162915
xPfTusEykaoThPECEHNx,อื่น ๆ,0,อื่น ๆ-0,0.3101710081,0.3169338
